Title: The Next Generation Virgo Cluster Survey (NGVS). XIV. The Discovery 
       of Low Mass Galaxies and a New Galaxy Catalog in the Core of the 
       VIrgo Cluster  
Authors: Ferrarese L., Cote P., MacArthur L.A., Durrell P.R., Gwyn S.D., 
         Duc P.-A., Sanchez-Janssen R., Santos M., Blakeslee J.P., Boselli A., 
         Boyer F., Cantiello M., Courteau S., Cuillandre J.-C., Emsellem E., 
         Erben T., Gavazzi G., Guhathakurta P., Huertas-Company M., Jordan A.,
         Lancon A., Liu C., Mei S., Mihos J.C., Peng E.W., Puzia T.H., 
         Roediger J., Schade D., Taylor J.E., Toloba E., Zhang H. 
Table: NGVS Core Region Galaxies: Galaxy Colors
================================================================================
Byte-by-byte Description of file: apjab339ft7_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1- 27 A27    ---   NGVS   NGVS identifier
NGVSJ12:27:20.29+11:41:42.8 1 20.68 1.05  0.51  0.88  1.06 
NGVSJ12:27:21.11+13:06:40.3 0 17.79 1.05  0.56  0.81  0.94 
NGVSJ12:27:22.17+12:04:07.4 0 17.42 1.01  0.56  0.84  0.95 
NGVSJ12:27:23.46+12:19:54.1 0 17.55 1.05  0.55  0.85  0.94 
NGVSJ12:27:25.10+13:24:21.9 0 18.91 1.12  0.55  0.76  0.81 
NGVSJ12:27:26.91+11:45:11.6 2 21.73 1.18  0.41  0.18  0.43 
NGVSJ12:27:26.95+11:56:33.4 1 20.04 0.93  0.48  0.69  0.68 
NGVSJ12:27:27.38+12:17:25.0 0 13.35 1.32  0.67  1.04  1.21 
NGVSJ12:27:29.53+12:16:09.1 1 19.94 1.04  0.48  0.74  1.18 
NGVSJ12:27:29.55+11:44:04.1 0 20.72 1.13  0.55  0.88  1.05 
NGVSJ12:27:29.78+12:15:07.2 0 18.99 0.89  0.45  0.76  0.54 
NGVSJ12:27:30.38+13:12:55.1 2 21.86 0.92  0.61  0.88  0.92 
NGVSJ12:27:32.01+11:36:54.7 0 16.98 1.12  0.57  0.84  0.98 
NGVSJ12:27:33.11+11:31:43.3 1 21.39 1.15  0.51  0.76  1.09 
NGVSJ12:27:33.18+11:31:55.7 1 19.61 1.00  0.56  0.76  0.91 
NGVSJ12:27:34.39+12:48:12.1 0 19.51 1.30  0.72  0.66  1.11 
NGVSJ12:27:35.60+12:37:26.3 0 19.28 0.96  0.55  0.87  0.92 
NGVSJ12:27:37.45+12:22:40.9 2 22.40 0.77  0.51  0.82  1.49 
NGVSJ12:27:39.24+12:52:47.6 0 17.23 1.04  0.53  0.75  0.99 
NGVSJ12:27:40.49+13:04:44.3 0 10.97 1.45  0.72  1.08  1.32 
NGVSJ12:27:41.24+12:18:57.2 0 13.57 1.29  0.62  0.96  1.15 
NGVSJ12:27:41.67+12:29:16.3 1 19.68 1.03  0.51  0.75  0.82 
NGVSJ12:27:42.11+12:05:22.7 0 16.11 1.06  0.50  0.77  0.88 
NGVSJ12:27:43.43+11:58:04.6 0 19.90 1.11  0.51  0.74  0.87 
NGVSJ12:27:44.39+12:33:25.9 1 20.51 1.04  0.55  0.70  0.91 
NGVSJ12:27:44.52+12:59:01.3 0 15.45 1.18  0.63  0.91  1.07 
NGVSJ12:27:45.42+12:52:22.5 0 18.03 0.98  0.52  0.70  0.86 
NGVSJ12:27:45.65+13:00:31.9 0 10.52 1.40  0.73  1.12  1.39 
NGVSJ12:27:46.47+11:44:28.9 0 19.53 1.04  0.54  0.81  0.95 
NGVSJ12:27:49.49+12:29:58.7 0 19.44 0.93  0.55  0.75  0.96 
NGVSJ12:27:53.17+12:22:58.8 1 20.89 0.88  0.57  0.74  1.09 
NGVSJ12:27:53.42+12:58:22.9 2 22.03 0.87  0.40  0.70  0.67 
NGVSJ12:27:53.57+12:17:35.8 0 12.18 1.46  0.69  1.07  1.31 
NGVSJ12:27:54.56+12:36:16.2 1 19.59 0.97  0.52  0.78  0.83 
NGVSJ12:27:55.22+12:22:09.5 0 16.23 1.06  0.53  0.79  0.73 
NGVSJ12:28:00.33+11:30:34.7 1 20.25 1.02  0.55  0.83  1.14 
NGVSJ12:28:00.44+11:56:59.6 0 17.79 1.11  0.57  0.86  0.99 
NGVSJ12:28:03.74+12:46:41.2 2 20.93 0.98  0.54  0.59  0.87 
NGVSJ12:28:04.79+11:36:16.5 1 19.64 1.06  0.51  0.80  0.88 
NGVSJ12:28:05.92+12:50:15.5 2 20.28 1.02  0.51  0.75  0.75 
NGVSJ12:28:06.53+12:53:53.3 0 16.28 1.17  0.59  0.85  0.98 
NGVSJ12:28:06.77+12:58:43.2 0 19.01 1.06  0.51  0.78  0.92 
NGVSJ12:28:07.90+12:24:07.9 1 21.20 1.00  0.45  0.74  0.52 
NGVSJ12:28:08.61+12:05:35.8 0 13.92 1.36  0.64  1.02  1.22 
NGVSJ12:28:10.07+12:43:29.4 1 18.49 0.98  0.38  0.56  0.81 
NGVSJ12:28:10.28+12:48:32.2 1 18.80 0.94  0.53  0.71  0.80 
NGVSJ12:28:12.24+11:58:13.3 1 19.27 1.10  0.50  0.75  0.92 
NGVSJ12:28:12.60+12:45:33.9 1 21.98 0.86  0.52  0.61  1.04 
NGVSJ12:28:12.81+13:00:54.0 0 18.90 1.06  0.50  0.74  0.74 
NGVSJ12:28:12.86+12:54:56.5 2 22.20 1.08  0.47  0.81  1.08 
NGVSJ12:28:14.87+11:47:23.6 0 13.06 1.35        0.92  1.38 
NGVSJ12:28:15.41+12:33:37.2 2 21.17 0.90  0.58  0.89  1.07 
NGVSJ12:28:15.85+12:52:12.0 1 19.13 1.19  0.66  0.99  1.12 
NGVSJ12:28:18.74+11:42:00.9 0 16.35 1.14  0.59  0.86  1.00 
NGVSJ12:28:20.08+13:18:37.2 2 22.95 0.70  0.33  0.83  0.88 
NGVSJ12:28:20.18+13:21:35.5 1 20.85 1.00  0.52  0.72  0.64 
NGVSJ12:28:21.59+12:38:45.4 2 21.72 1.05  0.57  0.79  0.72 
NGVSJ12:28:21.66+12:08:04.0 1 18.89 1.15  1.09  1.19  1.72 
NGVSJ12:28:23.37+11:34:46.9 0 17.87 0.98  0.51  0.72  0.87 
NGVSJ12:28:23.64+13:11:44.7 0 15.76 1.11  0.54  0.78  0.92 
NGVSJ12:28:26.26+12:20:45.2 0 18.91 1.06  0.50  0.73  0.82 
NGVSJ12:28:27.72+12:33:29.9 2 22.23 0.86  0.54  0.82  0.48 
NGVSJ12:28:28.06+12:49:25.3 0 15.10 1.14  0.57  0.80  0.95 
NGVSJ12:28:29.72+11:58:19.6 2 20.92 0.96  0.49  0.72  0.84 
NGVSJ12:28:31.15+11:31:59.9 1 21.46 0.84  0.54  0.75  0.80 
NGVSJ12:28:31.99+12:59:16.6 2 21.55 0.63  0.43  0.63 -0.62 
NGVSJ12:28:32.13+12:32:09.7 1 21.78 0.81  0.50  0.25  0.09 
NGVSJ12:28:32.40+11:44:40.7 0 17.00 0.87  0.52  0.80  1.03 
NGVSJ12:28:35.75+12:10:57.2 2 22.52 0.71  0.46  0.60  0.52 
NGVSJ12:28:36.07+11:40:16.5 2 21.56 0.94  0.48  0.77  1.05 
NGVSJ12:28:37.88+12:51:42.0 1 18.77 1.23  0.74  0.49  0.65 
NGVSJ12:28:39.87+12:58:40.5 1 20.17 1.06  0.52  0.68  0.74 
NGVSJ12:28:41.71+12:54:57.2 0 14.54 1.13  0.55  0.85  1.01 
NGVSJ12:28:42.66+12:32:59.4 0 16.44 1.10  0.58  0.81  0.97 
NGVSJ12:28:43.31+11:45:18.1 0 12.53 1.38  0.64  1.01  1.23 
NGVSJ12:28:44.65+11:59:37.2 2 20.94 1.01  0.44  0.69  0.78 
NGVSJ12:28:44.91+12:48:34.3 0 17.59 1.03  0.52  0.77  0.91 
NGVSJ12:28:45.79+12:01:18.6 0 17.79 0.97  0.52  0.76  0.80 
NGVSJ12:28:46.92+12:38:31.5 0 20.09 1.05  0.52  0.79  0.94 
NGVSJ12:28:47.37+12:49:48.5 2 22.47 0.86  0.47  0.60  0.42 
NGVSJ12:28:48.93+11:53:10.4 2 21.45 1.04  0.49  0.68  0.56 
NGVSJ12:28:49.11+12:07:54.5 0 18.58 1.01  0.51  0.71  0.86 
NGVSJ12:28:49.98+12:47:46.7 2 19.50 0.98  0.50  0.75  0.85 
NGVSJ12:28:51.02+12:07:09.0 2 21.60 1.36  0.26  0.72 -0.12 
NGVSJ12:28:51.07+11:34:24.8 1 20.75 1.04  0.54  0.79  0.84 
NGVSJ12:28:51.30+11:57:26.9 1 19.64 1.02  0.43  0.50  0.37 
NGVSJ12:28:52.76+12:44:12.3 1 20.32 1.06  0.62  0.77  0.82 
NGVSJ12:28:53.71+13:11:51.2 1 21.06 0.98  0.45  0.69  0.60 
NGVSJ12:28:53.73+12:58:53.7 2 21.10 0.92  0.43  0.68  0.90 
NGVSJ12:28:55.57+12:42:24.6 0 18.74 1.00  0.55  0.78  0.92 
NGVSJ12:28:55.65+12:25:42.3 1 21.34 1.01  0.44  0.83  1.18 
NGVSJ12:28:56.04+12:42:54.8 2 22.38 1.37  0.59  0.72  0.55 
NGVSJ12:28:56.13+13:26:42.2 0 19.68 0.92  0.42  0.62  1.06 
NGVSJ12:28:57.56+13:14:31.0 0 12.30 1.37  0.64  0.99  1.23 
NGVSJ12:28:57.68+11:57:20.2 1 20.05 1.11  0.52  0.78  0.63 
NGVSJ12:28:58.14+12:39:42.2 0 15.50 1.58  0.73  1.11  1.40 
NGVSJ12:28:58.84+12:54:28.8 0 17.37 1.03  0.50  0.67  0.69 
NGVSJ12:28:59.15+12:02:30.4 2 20.43 0.79  0.47  0.69  0.12 
NGVSJ12:28:59.50+11:55:23.4 1 19.43 0.90  0.47  0.77  0.00 
NGVSJ12:28:59.82+12:38:54.2 0 17.18 1.21  0.58  0.88  1.02 
NGVSJ12:29:01.16+12:33:30.8 2 21.51 0.95  0.53  0.69  0.85 
NGVSJ12:29:01.17+12:25:50.2 2 23.14 0.98  0.59  0.77  1.12 
NGVSJ12:29:02.02+12:26:05.5 0 19.28 1.12  0.56  0.75  0.95 
NGVSJ12:29:03.01+13:11:01.7 0 11.50 1.59  0.69  1.07  1.32 
NGVSJ12:29:03.26+12:05:58.9 2 22.15 1.02  0.53  0.71  1.41 
NGVSJ12:29:05.13+12:09:13.6 0 19.36 0.99  0.47  0.75  0.96 
NGVSJ12:29:05.42+12:01:52.5 0 18.85 1.04  0.51  0.76  0.75 
NGVSJ12:29:09.24+12:29:45.6 1 20.24 1.18  0.49  0.66  0.75 
NGVSJ12:29:09.56+12:33:29.3 1 20.48 2.17  0.3   0.76  0.38 
NGVSJ12:29:11.82+13:09:48.7 1 19.93 1.15  0.72  0.99  1.35 
NGVSJ12:29:12.31+11:31:11.9 2 20.75 0.97  0.43  0.66  0.40 
NGVSJ12:29:14.85+12:58:41.7 0 15.94 1.21  0.57  0.84  0.97 
NGVSJ12:29:17.55+13:04:42.6 2 21.09 1.07  0.2   0.2   0.76 
NGVSJ12:29:19.28+12:22:37.2 0 18.18 1.00  0.55  0.79  1.01 
NGVSJ12:29:20.27+12:01:16.4 2 18.58 1.56  0.71  0.84  0.00 
NGVSJ12:29:20.73+13:22:12.0 1 21.08 1.02  0.45  0.56  0.69 
NGVSJ12:29:21.55+12:28:03.4 1 20.90 0.75  0.50  0.63  0.92 
NGVSJ12:29:22.40+11:49:17.7 2 21.37 1.19  0.56  0.64  0.68 
NGVSJ12:29:23.52+12:27:02.9 0 15.09 1.28  0.62  0.91  1.16 
NGVSJ12:29:26.27+13:06:50.3 2 21.47 1.11  0.52  1.03 -0.24 
NGVSJ12:29:28.67+12:29:46.3 0 17.38 1.06  0.54  0.74  0.92 
NGVSJ12:29:31.38+12:34:12.1 2 19.15 1.10  0.51  0.77  0.89 
NGVSJ12:29:33.61+13:11:44.6 0 18.06 0.58  0.19  0.27  0.30 
NGVSJ12:29:34.52+13:19:56.2 0 18.40 1.14  0.56  0.80  0.96 
NGVSJ12:29:35.56+12:03:36.0 1 22.08 1.31  0.38  0.84  0.93 
NGVSJ12:29:35.57+13:12:40.1 2 20.75 1.2   0.51  0.76  0.90 
NGVSJ12:29:38.10+13:05:18.2 2 21.12 1.07  0.47  0.71  0.43 
NGVSJ12:29:38.15+12:24:35.5 2 20.44 1.14  0.52  0.80  0.46 
NGVSJ12:29:39.06+11:38:00.3 0 16.69 1.07  0.56  0.84  0.91 
NGVSJ12:29:39.24+12:32:53.7 0 16.15 1.17  0.56  0.81  0.99 
NGVSJ12:29:39.32+12:25:00.3 2 21.23 0.98  0.50  0.73  0.74 
NGVSJ12:29:39.65+12:14:15.8 2 19.99 0.76  0.84  1.05  0.88 
NGVSJ12:29:39.70+11:52:05.2 1 20.79 1.02  0.52  0.78  0.80 
NGVSJ12:29:40.38+12:57:38.5 1 21.18 1.12  0.49  0.74  1.15 
NGVSJ12:29:41.28+12:02:45.9 0 18.21 1.18  0.55  0.79  0.71 
NGVSJ12:29:41.39+11:34:19.3 1 19.85 1.04  0.46  0.69  0.37 
NGVSJ12:29:41.52+12:29:56.9 2 21.17 1.09  0.46  0.59  0.91 
NGVSJ12:29:43.19+12:39:18.8 2 21.02 1.12  0.47  0.72  0.80 
NGVSJ12:29:44.09+12:48:19.6 0 17.95 1.00  0.53  0.73  0.86 
NGVSJ12:29:46.27+12:55:27.8 2 20.67 0.99  0.45  0.49  0.87 
NGVSJ12:29:47.20+13:04:34.4 1 19.30 1.08  0.54  0.76  0.88 
NGVSJ12:29:47.74+12:34:17.2 2 22.00 0.93  0.39  0.62 -0.36 
NGVSJ12:29:48.87+13:25:46.0 0 10.49 1.51  0.73  1.07  1.36 
NGVSJ12:29:50.47+12:04:42.5 2 22.48 0.84  0.50  0.53  1.08 
NGVSJ12:29:52.01+13:19:28.0 1 20.30 0.99  0.47  0.69  0.80 
NGVSJ12:29:53.00+11:57:44.3 0 16.76 0.70  0.53  0.79  0.94 
NGVSJ12:29:53.78+12:37:17.9 0 18.97 0.93  0.46  0.69  1.00 
NGVSJ12:29:54.77+12:55:51.4 2 21.72 1.51  0.28  0.41  0.00 
NGVSJ12:29:55.50+13:20:58.2 1 21.23 0.92  0.45  0.67  0.72 
NGVSJ12:29:56.24+12:40:17.4 2 21.79 1.27  0.34  0.61  0.92 
NGVSJ12:29:56.34+13:13:12.3 0 18.02 1.06  0.56  0.71  1.01 
NGVSJ12:29:58.26+13:16:20.8 0 18.59 0.99  0.48  0.76  0.86 
NGVSJ12:29:58.67+11:54:42.5 2 22.26 1.43  0.48  0.78  0.74 
NGVSJ12:29:59.08+12:20:55.4 0 12.42 1.25  0.62  0.99  1.23 
NGVSJ12:30:00.94+12:44:11.3 2 21.51 1.18  0.36  0.58  0.82 
NGVSJ12:30:01.15+13:07:04.9 1 19.37 1.04  0.48  0.70  0.82 
NGVSJ12:30:01.82+12:56:52.5 1 20.50 0.96  0.53  0.69  0.83 
NGVSJ12:30:01.87+12:12:59.7 2 20.51 1.04  0.50  0.78  0.66 
NGVSJ12:30:04.38+12:30:35.7 2 21.66 1.05  0.45  0.71  0.68 
NGVSJ12:30:05.12+12:38:48.7 2 22.19 0.94  0.23  0.68  0.29 
NGVSJ12:30:05.91+12:27:12.1 2 22.63 1.07  0.38  0.66  1.31 
NGVSJ12:30:06.08+12:22:37.9 0 17.76 1.04  0.50  0.75  0.86 
NGVSJ12:30:06.21+12:41:18.4 1 18.86 1.07  0.52  0.76  0.88 
NGVSJ12:30:07.20+12:35:28.2 1 22.25 0.95  0.21  0.62  0.45 
NGVSJ12:30:07.86+12:23:19.9 2 20.49 1.02  0.53  0.72  0.97 
NGVSJ12:30:10.88+12:11:43.6 0 16.39 1.04  0.52  0.79  0.88 
NGVSJ12:30:13.90+12:56:48.8 2 20.94 1.02  0.68  0.64  0.27 
NGVSJ12:30:15.05+13:20:31.0 1 21.81 1.00  0.55  0.61  0.94 
NGVSJ12:30:15.27+12:30:57.3 0 19.01 1.03  0.47  0.71  0.88 
NGVSJ12:30:15.76+12:59:54.0 1 20.93 1.05  0.45  0.75  1.00 
NGVSJ12:30:17.42+12:19:42.8 0 11.76 1.42  0.68  1.05  1.35 
NGVSJ12:30:17.45+12:14:28.3 0 18.42 1.11  0.49  0.70  0.51 
NGVSJ12:30:18.00+12:02:30.5 0 19.18 1.18  0.56  0.79  0.48 
NGVSJ12:30:18.21+12:34:17.3 0 19.52 1.01  0.46  0.76  0.78 
NGVSJ12:30:19.94+11:43:21.0 2 20.54 0.84  0.52  0.70  0.90 
NGVSJ12:30:20.43+12:49:00.4 2 20.70 1.06  0.48  0.61  0.89 
NGVSJ12:30:21.67+11:40:16.7 2 22.79 1.2   0.17  0.72 -0.04 
NGVSJ12:30:23.85+12:26:07.2 1 19.46 2.08  0.61  0.72 -0.83 
NGVSJ12:30:24.05+13:18:45.0 2 22.30 1.52  0.44  0.63  0.49 
NGVSJ12:30:24.48+13:19:55.8 0 17.99 0.97  0.52  0.76  0.88 
NGVSJ12:30:24.56+12:47:34.4 0 19.12 1.09  0.54  0.73  0.88 
NGVSJ12:30:26.92+12:56:08.2 1 20.47 1.04  0.49  0.86  0.78 
NGVSJ12:30:27.53+12:52:25.6 1 22.35 1.17  0.41  0.65  0.95 
NGVSJ12:30:28.29+12:58:57.1 1 19.66 1.01  0.46  0.74  0.71 
NGVSJ12:30:30.48+13:05:39.3 1 19.97 1.07  0.46  0.69  0.78 
NGVSJ12:30:31.97+12:29:24.6 0 13.69 1.56  0.71  1.12  1.46 
NGVSJ12:30:32.18+12:51:51.2 2 20.30 1.05  0.45  0.63  0.49 
NGVSJ12:30:33.32+12:54:02.3 0 17.76 1.07  0.51  0.75  0.87 
NGVSJ12:30:34.65+12:27:29.2 1 17.45 1.11  0.58  0.91  0.04 
NGVSJ12:30:35.12+13:11:20.2 2 20.56 1.04  0.48  0.80  0.77 
NGVSJ12:30:37.24+12:46:09.2 1 19.16 0.98  0.52  0.79  1.10 
NGVSJ12:30:37.35+13:00:33.3 1 20.07 1.01  0.44  0.58  0.84 
NGVSJ12:30:40.41+12:37:17.8 1 21.00 0.96  0.42  0.63  0.57 
NGVSJ12:30:42.65+12:47:26.1 1 21.16 0.97  0.45  0.68  0.64 
NGVSJ12:30:46.32+12:05:56.7 0 17.55 0.55  0.21  0.29  0.38 
NGVSJ12:30:46.32+12:36:49.5 2 21.95 0.73  0.58  0.72  1.10 
NGVSJ12:30:46.88+13:12:50.4 0 19.52 0.95  0.50  0.73  0.83 
NGVSJ12:30:47.20+11:32:15.4 0 18.80 1.05  0.52  0.79  0.94 
NGVSJ12:30:48.58+12:02:42.7 0 16.73 0.58 -0.11 -0.35 -0.36 
NGVSJ12:30:49.03+13:13:25.8 0 16.68 0.93  0.48  0.72  0.83 
NGVSJ12:30:49.42+12:23:28.0 0  8.88 1.43  0.72  1.11  1.47 
NGVSJ12:30:50.59+12:44:11.7 0 17.84 1.04  0.47  0.70  0.84 
NGVSJ12:30:53.26+11:39:15.5 2 22.46 0.75  0.68  0.77  0.55 
NGVSJ12:30:55.66+13:20:53.8 0 17.91 0.92  0.48  0.70  0.80 
NGVSJ12:30:57.37+13:13:51.7 2 21.15 0.76  0.49  0.66  0.95 
NGVSJ12:30:57.77+12:16:15.5 0 12.87 1.36  0.71  1.10  1.46 
NGVSJ12:30:58.81+11:42:30.8 0 17.36 0.99  0.54  0.76  0.95 
NGVSJ12:31:03.19+12:21:10.5 1 20.43 0.99  0.51  0.73  0.69 
NGVSJ12:31:03.28+12:04:40.6 1 19.53 1.02  0.54  0.73  0.86 
NGVSJ12:31:03.98+11:50:10.2 0 17.42 0.88  0.50  0.75  0.84 
NGVSJ12:31:05.15+12:29:38.3 1 20.45 1.12  0.42  0.73  0.78 
NGVSJ12:31:05.67+12:49:38.9 2 22.07 0.99  0.27  0.38  0.35 
NGVSJ12:31:09.67+13:21:15.5 2 22.19 0.99  0.63  0.77  1.20 
NGVSJ12:31:10.42+13:05:50.5 0 17.90 1.04  0.51  0.75  0.89 
NGVSJ12:31:11.64+13:06:51.7 0 18.04 1.10  0.49  0.73  0.82 
NGVSJ12:31:11.78+12:03:48.5 2 22.57 1.35  0.39  0.62  1.15 
NGVSJ12:31:12.69+13:07:27.4 0 18.00 1.05  0.49  0.74  0.82 
NGVSJ12:31:15.73+12:19:54.4 0 15.22 1.3   0.64  1.00  1.26 
NGVSJ12:31:16.55+12:03:58.2 2 22.19 0.94  0.46  0.56  0.61 
NGVSJ12:31:18.87+13:19:54.7 0 18.43 1.05  0.50  0.74  0.88 
NGVSJ12:31:19.41+12:40:13.2 2 23.02 1.83  0.44  0.58  0.81 
NGVSJ12:31:19.43+12:44:16.9 0 16.10 1.04  0.48  0.74  0.86 
